7;0;0;0;0;2;17;1;1;2;0;0;2;0;1;0;0;1
5;0;0;0;1;2;18;2;1;2;1;0;0;2;4;0;2;1
7;1;0;0;1;1;17;3;0;2;0;0;0;1;3;0;0;2
7;0;0;1;0;1;18;3;1;2;1;0;3;1;1;0;2;1
9;1;0;0;1;1;17;5;0;2;0;0;0;3;4;0;0;1
9;0;0;0;1;2;16;3;0;2;0;0;0;1;4;0;0;1
8;1;0;1;1;1;18;3;0;2;1;0;0;2;3;0;1;2
11;0;0;0;0;2;16;3;1;2;1;0;0;1;3;0;0;1
11;0;0;0;1;1;16;2;0;2;0;0;1;1;4;0;0;1
4;1;0;2;1;1;19;2;1;2;0;0;0;2;3;0;0;1
6;1;0;1;1;1;19;2;1;2;0;0;3;0;1;0;0;1
7;0;0;0;1;1;20;2;1;2;1;0;0;2;3;0;0;0
3;1;0;0;1;1;16;3;1;2;0;0;0;3;4;1;0;2
9;1;0;0;1;2;17;3;1;2;0;0;0;3;3;1;0;2
2;1;0;0;1;1;17;4;0;2;0;0;0;3;2;1;0;2
6;0;0;0;0;2;17;2;1;2;1;0;3;0;1;1;2;1
4;2;0;0;0;2;18;3;1;2;0;0;0;3;3;1;0;2
7;0;0;0;1;2;17;2;1;2;0;0;3;0;1;1;0;2
2;1;0;0;1;1;17;4;0;2;0;0;0;3;2;1;0;2
6;0;0;3;1;2;21;3;1;2;1;0;4;3;1;1;0;2
2;0;0;3;2;2;23;3;1;2;1;0;0;2;3;1;2;2
7;1;0;1;1;2;18;3;0;2;0;1;1;0;1;1;0;2
9;0;0;3;0;1;22;2;1;2;1;0;4;1;1;1;0;1
8;0;0;0;1;2;18;3;1;2;0;0;0;3;4;1;0;2
3;1;0;3;1;2;22;3;1;2;1;0;0;3;3;1;0;2
5;1;0;0;1;1;17;3;1;2;0;0;0;2;4;1;0;2
3;1;0;0;0;1;17;2;0;2;0;0;1;0;1;1;0;0
3;1;0;3;1;2;36;2;1;2;1;0;2;0;3;1;0;1
10;1;0;3;0;1;21;3;1;2;1;0;0;2;3;1;0;0
7;1;3;0;1;2;16;3;0;2;0;0;0;3;4;1;0;2
4;0;0;3;0;2;24;2;1;2;1;0;3;0;2;1;0;2
5;1;0;0;0;2;17;4;0;2;0;0;0;3;1;1;0;2
7;0;0;3;2;1;20;2;0;2;1;0;4;1;1;1;2;0
9;0;0;3;1;2;25;2;0;2;0;0;2;1;3;1;0;2
8;1;0;0;1;2;18;5;0;2;0;0;0;3;3;1;0;2
2;0;1;0;0;0;16;1;1;1;0;0;0;1;1;1;2;0
4;0;0;1;0;1;21;2;1;2;1;1;3;0;3;1;0;1
2;1;0;3;0;2;25;3;0;2;1;0;3;0;1;1;0;2
6;1;0;0;1;2;18;5;0;2;0;0;0;3;2;1;0;2
11;1;0;0;1;1;17;3;0;2;0;0;0;1;1;1;0;2
4;2;0;3;1;2;26;3;1;2;1;0;1;0;1;1;2;1
6;1;0;3;0;1;21;3;0;2;1;0;3;0;3;1;0;2
6;1;0;3;0;1;29;3;1;2;1;0;1;0;1;1;0;2
2;0;0;2;0;1;19;2;1;2;1;0;2;0;3;1;0;1
6;1;0;1;0;3;19;3;1;2;0;0;0;3;4;1;0;2
6;2;0;3;0;1;17;5;0;2;0;0;3;1;2;1;0;2
4;1;0;1;1;1;18;3;0;2;1;0;0;2;3;1;0;2
5;1;0;0;1;1;19;3;0;2;0;0;3;1;4;1;0;2
5;1;0;0;1;1;19;3;0;2;0;0;3;1;4;1;0;2
2;1;1;0;2;0;16;2;0;2;0;0;0;3;4;1;2;0
2;0;1;0;0;0;16;1;1;1;0;0;0;1;1;1;2;0
6;1;3;2;1;2;17;4;0;2;0;0;3;3;3;1;0;2
3;0;1;0;2;0;16;2;0;0;0;0;0;2;2;1;2;2
9;0;1;3;1;1;18;2;1;1;0;0;1;0;1;1;0;2
9;0;1;3;1;1;18;2;1;1;0;0;1;0;1;1;0;2
3;0;1;0;2;2;15;3;1;1;0;0;0;3;1;1;2;2
5;0;2;3;0;0;19;1;0;2;0;0;0;1;3;1;0;2
2;1;0;1;0;1;18;3;1;2;1;0;0;0;1;1;2;2
